Mapoon,MissionRiver,MacDonaldDoughboy,EscapeRiver,Aurukun,AlligatorRivers,Taman,KamparRiver,Porai,TanaRiver,Lamu,KilwaKisiwani,Loango,MungoRiver,OyapokRiver,ApprouagueRiver,SinnamaryRiver,MaroniRiver,Matapica,EssequiboRiver
0.286864233,0.14268,3.015814667,0.41341,,0.12076,,1.387439406,0.252348077,1.95,12.07558,0.228192923,,2.209811987,2.78764,0.267795725,0.069503648,0.54056,,
0.358109679,0.15651283,3.015814667,0.415337939,,0.123642655,,1.53384,0.41341,2.290032263,14.98546505,0.386880972,,2.756084826,3.7755,0.298608391,0.085499859,0.72894123,,
0.549540874,0.168245748,4.352006737,0.62617,,0.358109679,,3.52759,0.5735286,2.405106273,63.36998,0.81117,,2.87565,4.13499,0.330952124,0.101194927,0.74947,,
0.62617,0.185511054,39.23452969,0.64442,,0.391371556,,4.000602196,0.62617,3.60016,,1.26,,3.00208,4.434010457,0.33985,0.10228,0.828281715,,
0.64442,0.236290414,1150.299704,0.681263559,,0.544139158,,4.56932,0.681263559,5.04129,,8.213573636,,3.25498,4.57045225,0.340121195,0.1057687,0.9124,,
0.681263559,0.252348077,,0.82476,,0.62617,,5.82908,0.867783098,11.99996,,9.995929559,,3.57827,6.39831,0.341663693,0.12042,0.918737436,,
0.867783098,0.300695682,,0.867783098,,0.681263559,,7.34999,1.152032455,14.98546505,,1536.3104,,5.13257,6.55497,0.353744275,0.13352018,1,,
0.911477144,0.317418469,,0.911477144,,0.818297416,,42.12901091,3.454073295,21.99999,,,,5.13257,6.6465,0.384761122,0.141817515,1.117002973,,
1.338379266,0.327937141,,1.50577,,0.867783098,,58.70187374,4.352006737,50.57792,,,,5.25691,6.875,0.418506407,0.147154249,1.13475,,
1.50577,0.358109679,,1.603692998,,0.911477144,,161.91466,160.2577315,52.39999,,,,12.07558,8.69725,0.42581,0.168655303,2.188578452,,
1.603692998,0.415337939,,3.015814667,,1.50577,,,,63.36998,,,,14.2533,26,0.51584565,0.168845588,2.44181,,
3.495326036,0.415337939,,4.352006737,,1.603692998,,,,158.62393,,,,23.74741572,31.79871,0.54056,0.17734,2.75838,,
4.352006737,0.42223659,,6.242188842,,3.495326036,,,,591.3955721,,,,29.39785892,46.22003451,0.72894123,0.178224527,3.27081,,
4.49997,0.549540874,,6.939880416,,4.49997,,,,1536.3104,,,,45,78.31590231,0.74947,0.180889992,3.7755,,
6.242188842,0.62617,,9.571160808,,6.939880416,,,,,,,,,83.94309,0.828281715,0.18538581,3.922317946,,
6.939880416,0.64442,,39.23452969,,9.571160808,,,,,,,,,169.49664,0.871589896,0.24647,4.13499,,
9.571160808,0.681263559,,1150.299704,,21.71016364,,,,,,,,,,1,0.2488,4.434010457,,
39.23452969,0.818297416,,,,1150.299704,,,,,,,,,,1.03047,0.298608391,4.8,,
1150.299704,0.867783098,,,,,,,,,,,,,,1.03047,0.330952124,6.32454,,
,0.911477144,,,,,,,,,,,,,,1.106665658,0.340121195,6.39831,,
,1.338379266,,,,,,,,,,,,,,1.13475,0.341663693,6.55497,,
,1.338379266,,,,,,,,,,,,,,1.532030329,0.350929995,6.6465,,
,1.50577,,,,,,,,,,,,,,2.428456575,0.353744275,6.875,,
,1.603692998,,,,,,,,,,,,,,2.44181,0.36377,6.93172,,
,3.495326036,,,,,,,,,,,,,,2.75838,0.384761122,11.88,,
,4.352006737,,,,,,,,,,,,,,2.78764,0.38967372,19.99888542,,
,5.356414043,,,,,,,,,,,,,,3.030065726,0.418506407,26,,
,6.242188842,,,,,,,,,,,,,,3.214803215,0.42581,31.79871,,
,6.939880416,,,,,,,,,,,,,,3.27081,0.51584565,46.22003451,,
,9.571160808,,,,,,,,,,,,,,3.7755,0.54056,53.95405,,
,21.71016364,,,,,,,,,,,,,,3.922317946,0.72894123,73.38140621,,
,39.23452969,,,,,,,,,,,,,,3.94901,0.74947,83.94309,,
,1150.299704,,,,,,,,,,,,,,4.13499,0.828281715,169.49664,,
,,,,,,,,,,,,,,,4.434010457,0.871589896,,,
,,,,,,,,,,,,,,,4.57045225,0.918737436,,,
,,,,,,,,,,,,,,,4.8,1,,,
,,,,,,,,,,,,,,,6.32454,1.03047,,,
,,,,,,,,,,,,,,,6.39831,1.082321643,,,
,,,,,,,,,,,,,,,6.55497,1.117002973,,,
,,,,,,,,,,,,,,,6.6465,1.13475,,,
,,,,,,,,,,,,,,,6.875,1.340517994,,,
,,,,,,,,,,,,,,,6.93172,1.532030329,,,
,,,,,,,,,,,,,,,8.69725,2.188578452,,,
,,,,,,,,,,,,,,,9.70283,2.44181,,,
,,,,,,,,,,,,,,,11.88,2.75838,,,
,,,,,,,,,,,,,,,13.58501871,2.75838,,,
,,,,,,,,,,,,,,,19.99888542,2.78764,,,
,,,,,,,,,,,,,,,26,3.030065726,,,
,,,,,,,,,,,,,,,29.53183,3.27081,,,
,,,,,,,,,,,,,,,31.79871,3.457768049,,,
,,,,,,,,,,,,,,,40.64189,3.7755,,,
,,,,,,,,,,,,,,,46.22003451,3.922317946,,,
,,,,,,,,,,,,,,,53.95405,4.13499,,,
,,,,,,,,,,,,,,,53.95405,4.434010457,,,
,,,,,,,,,,,,,,,73.38140621,4.57045225,,,
,,,,,,,,,,,,,,,83.94309,4.8,,,
,,,,,,,,,,,,,,,169.49664,5.74166,,,
,,,,,,,,,,,,,,,883.39781,6.32454,,,
,,,,,,,,,,,,,,,,6.39831,,,
,,,,,,,,,,,,,,,,6.55497,,,
,,,,,,,,,,,,,,,,6.875,,,
,,,,,,,,,,,,,,,,6.875,,,
,,,,,,,,,,,,,,,,6.93172,,,
,,,,,,,,,,,,,,,,8.69725,,,
,,,,,,,,,,,,,,,,11.88,,,
