Mapoon,MissionRiver,MacDonaldDoughboy,EscapeRiver,Aurukun,MurgenellaCreek,AlligatorRivers,Otakwa,Taman,KamparRiver,KikoriRiver,Porai,TanaRiver,Lamu,KilwaKisiwani,Loango,CongoDelta,CuanzaRiver,DombeGrande,MungoRiver,FuroSantaMaria,CaeteRiver,OyapokRiver,ApprouagueRiver,SinnamaryRiver,MaroniRiver,Matapica,EssequiboRiver,Marawhanna
0.215059013,0.10694266,,0.867783098,,,0.039573781,,,0.771107255,,0.5735286,0.186226373,11.96438,0.186226373,,,,,2.756084826,,,4.57045225,0.168845588,0.062492741,0.341663693,,,
0.358109679,0.123642655,,0.911477144,,,0.0452,,,1.200520781,,0.62617,0.28183,14.98546505,0.206939808,,,,,3.00208,,,6.55497,0.178224527,0.069503648,0.384761122,,,
0.549540874,0.15651283,,4.352006737,,,0.084856742,,,3.52759,,0.681263559,1.72213,63.36998,0.228192923,,,,,23.74741572,,,26,0.18538581,0.085499859,0.72894123,,,
0.62617,0.168245748,,6.242188842,,,0.123642655,,,4.000602196,,0.867783098,2.290032263,,1.26,,,,,29.39785892,,,46.22003451,0.267795725,0.10228,0.828281715,,,
0.681263559,0.185511054,,6.939880416,,,0.358109679,,,42.12901091,,3.454073295,11.99996,,8.213573636,,,,,,,,83.94309,0.298608391,0.1057687,0.918737436,,,
0.867783098,0.252348077,,9.571160808,,,0.391371556,,,58.70187374,,4.352006737,14.98546505,,9.995929559,,,,,,,,,0.330952124,0.13352018,1,,,
0.911477144,0.300695682,,39.23452969,,,0.544139158,,,161.91466,,160.2577315,21.99999,,,,,,,,,,,0.340121195,0.141817515,1.117002973,,,
1.338379266,0.317418469,,1150.299704,,,0.62617,,,,,,50.57792,,,,,,,,,,,0.341663693,0.147154249,2.188578452,,,
3.495326036,0.327937141,,,,,0.681263559,,,,,,52.39999,,,,,,,,,,,0.353744275,0.168655303,3.27081,,,
4.352006737,0.358109679,,,,,0.818297416,,,,,,63.36998,,,,,,,,,,,0.384761122,0.168845588,3.922317946,,,
4.49997,0.415337939,,,,,0.867783098,,,,,,158.62393,,,,,,,,,,,0.418506407,0.178224527,4.8,,,
6.242188842,0.415337939,,,,,0.911477144,,,,,,591.3955721,,,,,,,,,,,0.51584565,0.180889992,6.32454,,,
6.939880416,0.42223659,,,,,3.495326036,,,,,,,,,,,,,,,,,0.72894123,0.18538581,6.55497,,,
9.571160808,0.549540874,,,,,4.49997,,,,,,,,,,,,,,,,,0.828281715,0.298608391,11.88,,,
39.23452969,0.62617,,,,,6.939880416,,,,,,,,,,,,,,,,,0.871589896,0.330952124,19.99888542,,,
1150.299704,0.681263559,,,,,9.571160808,,,,,,,,,,,,,,,,,1,0.340121195,26,,,
,0.818297416,,,,,21.71016364,,,,,,,,,,,,,,,,,1.106665658,0.341663693,46.22003451,,,
,0.867783098,,,,,1150.299704,,,,,,,,,,,,,,,,,1.532030329,0.350929995,53.95405,,,
,0.911477144,,,,,,,,,,,,,,,,,,,,,,2.428456575,0.353744275,73.38140621,,,
,1.338379266,,,,,,,,,,,,,,,,,,,,,,3.030065726,0.384761122,83.94309,,,
,1.338379266,,,,,,,,,,,,,,,,,,,,,,3.214803215,0.38967372,,,,
,3.495326036,,,,,,,,,,,,,,,,,,,,,,3.27081,0.418506407,,,,
,4.352006737,,,,,,,,,,,,,,,,,,,,,,3.922317946,0.51584565,,,,
,5.356414043,,,,,,,,,,,,,,,,,,,,,,4.57045225,0.72894123,,,,
