AlligatorRivers,ApprouagueRiver,CongoDelta,EssequiboRiver,FuroSantaMaria,KikoriRiver,Loango,MacDonaldDoughboy,MissionRiver,Morawhanna,Taman,TanaRiver
0.004854289,0.024191383,3.737454214,0.139159931,0.26395,0.021527817,0.08792,0.016,0.01384,0.978164887,2.78097,0.020168286
0.00490875,0.025255705,3.75085,0.141817515,0.28499,0.02305,0.08984,0.018241877,0.014844094,1.13475,2.82668,0.020169022
0.004970238,0.028434799,4.89605,0.147154249,0.29021,0.024226493,0.09564,0.018606407,0.015247198,1.245615257,3.454073295,0.02199
0.005330134,0.029822698,12.07558,0.168845588,0.298608391,0.032042473,0.099278523,0.0208404,0.015319658,1.340517994,3.52759,0.025744592
0.00627,0.031944073,14.93602,0.17734,0.31403,0.034764409,0.1,0.021527817,0.016,1.66719,4.24657,0.030279578
0.00631136,0.03315,19.70010337,0.18498,0.330952124,0.034764409,0.105678505,0.021527817,0.0175,1.803445436,4.56932,0.031944073
0.007122849,0.03491,43.25039,0.18538581,0.38292,0.03802,0.110974288,0.021822883,0.018606407,2.363384631,5.90981,0.032331836
0.007792369,0.035751972,52.39999,0.203084099,0.39866,0.041232212,0.111672586,0.022757955,0.021527817,2.75838,6.9,0.034764409
0.007960721,0.03628,58.05924,0.204843879,0.42581,0.04507,0.117696449,0.025201143,0.021822883,2.78764,7.17681,0.036268171
0.008503013,0.04074,69.06379,0.228192923,0.53698,0.04546,0.137543685,0.026420518,0.022757955,3.030065726,12.26565,0.037076317
0.00856,0.043458423,82.49999,0.24647,0.60999,0.04694644,0.13813151,0.027807273,0.025201143,3.7755,23.3,0.038786112
0.010324185,0.044786767,111.95371,0.2488,0.74947,0.04716,0.14099,0.03524,0.026080184,3.922317946,42.12901091,0.04185
0.010658364,0.047,190.0987484,0.26395,0.803,0.047579601,0.149312452,0.035657357,0.026420518,4.3758,42.30251265,0.042403717
0.011041534,0.047551752,204.39348,0.267795725,0.828281715,0.047772833,0.157275695,0.039573781,0.027807273,4.57045225,53.40829,0.044589087
0.011342399,0.048,264.17396,0.28499,0.918737436,0.048296756,0.19238083,0.060609805,0.027807273,6.39831,57.07578,0.052
0.01172985,0.050534882,592.66598,0.298608391,0.97433,0.05063,0.200383985,0.062501232,0.027807273,7.499035767,135.80595,0.05278
0.012,0.051044746,1536.3104,0.330952124,1.016949696,0.05274,0.202394012,0.07,0.03524,8.17255,246.6039337,0.05381
