No.,Collection,Clade,Terrestriality,BM Category,Scientific Name,Sex,C&E Measured,BM.log,Mean CSA,Min CSA,Max CSA,Mean LCSA,Min LCSA,Max LCSA,Mean DCSA,Min DCSA,Max DCSA,BM.g
7682,ROMV,Reptilia,Terrestrial,10-100 g,Gekko ulikovskii,M,N,1.113943352,-0.419830853,-0.500038134,-0.341821599,-0.353655099,-0.42934033,-0.23267713,-0.485036619,-0.584859648,-0.3675174,12.99999999
8888,ROMV,Reptilia,Terrestrial,10-100 g,Gerrhosaurus flavigularis,F,N,1.264817823,-0.286258688,-0.375975875,-0.175304813,-0.125925018,-0.183029962,-0.021990769,-0.445831347,-0.610789602,-0.303621766,18.4
3558,ROMV,Reptilia,Terrestrial,0.1-1 kg,Gerrhosaurus major,,Y,2.356025857,0.137354677,0.079561088,0.215981057,0.379822917,0.250962531,0.481098497,-0.114735866,-0.210260687,-0.049136383,226.9999999
6696,ROMV,Reptilia,Terrestrial,<10 g,Hemidactylus turcicus turcicus,M,N,0.84509804,-0.919065958,-1.0266412,-0.763903807,-0.772539549,-0.96297212,-0.593417244,-1.047449706,-1.170053304,-0.763903807,7
8525,ROMV,Reptilia,Terrestrial,10-100 g,Hemitheconyx caudicinctus,F,N,1.633468456,-0.216164097,-0.260229934,-0.161843815,-0.111864124,-0.177684783,-0.058376778,-0.321656922,-0.401318901,-0.161843815,43.00000004
5821,ROMV,Reptilia,Terrestrial,1-10 kg,Iguana iguana,,Y,3.431363764,0.954412788,0.883661435,1.003245055,0.996968543,0.954242509,1.03702788,0.916139446,0.778332169,0.996621108,2699.999999
8149,ROMV,Reptilia,Terrestrial,10-100 g,Laudakia stelio,F,N,1.23299611,-0.284591516,-0.373916384,-0.030945373,-0.064693568,-0.131003098,-0.004353839,-0.487202614,-0.693574972,-0.030945373,17.09999998
6695,ROMV,Reptilia,Terrestrial,10-100 g,Leiocephalus carinatus,,N,1.204119983,-0.575210212,-0.721703792,-0.430333538,-0.52863035,-0.723021486,-0.341392454,-0.616704853,-0.875414271,-0.488250289,16.00000001
7512,ROMV,Reptilia,Terrestrial,10-100 g,Phelsuma madagascariensis,F,N,1.62324929,-0.244922082,-0.311357748,-0.125967785,-0.12561314,-0.221396595,-0.030945373,-0.36002049,-0.436489251,-0.125967785,41.99999996
7514,ROMV,Reptilia,Terrestrial,10-100 g,Phrynocephalus mystaceus,F,N,1.322219295,-0.527870691,-0.607303047,-0.453920255,-0.329790605,-0.559681393,-0.244106097,-0.724888367,-0.851937465,-0.559681393,21.00000001
