Mapoon,MissionRiver,MacDonaldDoughboy,EscapeRiver,AlligatorRivers,Taman,KamparRiver,TanaRiver,Lamu,Loango,CongoDelta,CuanzaRiver,DombeGrande,MungoRiver,OyapokRiver,ApprouagueRiver,SinnamaryRiver,MaroniRiver
,,,,,,,52.39999,,,,,,0.27737,,4.1162,6.875,0.9124
,,,,,,,158.62393,,,,,,0.01118,,20.54686,1,53.95405
,,,,,,,38.80437,,,,,,5.13257,,4.8,3.27081,8.17255
,,,,,,,82.49999,,,,,,1.08181,,11.88,6.93172,0.03491
,,,,,,,21.99999,,,,,,0.03122,,6.875,2.75838,48.14491
,,,,,,,63.36998,,,,,,0.06272,,83.94309,2.78764,6.6465
,,,,,,,75.60752,,,,,,43.25039,,21.13369,1.66719,0.05222
,,,,,,,204.39348,,,,,,3.00208,,26,8.69725,0.31403
,,,,,,,0.28183,,,,,,12.07558,,0.95487,6.39831,0.04074
,,,,,,,1.72213,,,,,,0.54383,,6.93172,0.95487,
,,,,,,,5.63901,,,,,,,,0.17734,1.13475,
,,,,,,,,,,,,,,,40.64189,1.9,
,,,,,,,,,,,,,,,2.78764,0.03315,
,,,,,,,,,,,,,,,2.44181,0.089,
,,,,,,,,,,,,,,,0.03491,0.10228,
,,,,,,,,,,,,,,,3.94901,0.17734,
,,,,,,,,,,,,,,,16.63317,0.00759,
,,,,,,,,,,,,,,,3.27081,0.31403,
,,,,,,,,,,,,,,,48.14491,0.36377,
,,,,,,,,,,,,,,,8.69725,0.057,
,,,,,,,,,,,,,,,0.42581,1.03047,
,,,,,,,,,,,,,,,29.53183,0.0734,
,,,,,,,,,,,,,,,0.33985,6.875,
,,,,,,,,,,,,,,,1.03047,0.04074,
,,,,,,,,,,,,,,,16.63317,0.2488,
,,,,,,,,,,,,,,,,0.39866,
,,,,,,,,,,,,,,,,0.12042,
,,,,,,,,,,,,,,,,0.05222,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
