Mapoon,MissionRiver,MacDonaldDoughboy,EscapeRiver,Aurukun,AlligatorRivers,Taman,KamparRiver,KikoriRiver,Porai,TanaRiver,Lamu,KilwaKisiwani,Loango,MungoRiver,OyapokRiver,ApprouagueRiver,SinnamaryRiver,MaroniRiver,Matapica,EssequiboRiver,Morawhanna
0.027807273,0.014844094,0.867783098,0.022757955,0.252348077,0.010658364,,0.290668654,30.00000002,0.010298944,0.066518964,0.315089693,0.0417499,,0.38659892,0.918737436,0.071267129,0.031944073,0.13352018,1.016949696,1.245615257,35.28376647
0.027807273,0.015319658,0.911477144,0.025201143,0.252348077,0.011041534,,0.328167605,160.2577315,0.010473156,0.080015473,0.388353469,0.044589087,,0.523194433,2.428456575,0.098836648,0.035751972,0.147154249,1.340517994,1.803445436,
0.035657357,0.018606407,1.694475996,0.035657357,0.283791903,0.011342399,,0.408905148,1150.299704,0.018428542,0.089706049,0.388353469,0.054956817,,0.558919186,4.434010457,0.098836648,0.044786767,0.168655303,1.365424355,4.434010457,
0.047579601,0.022757955,2.130027625,0.117178024,0.286864233,0.013016082,,0.681263559,,0.021527817,0.105678505,0.566007872,0.06380393,,1.402186557,4.57045225,0.101194927,0.047551752,0.168845588,1.803445436,7.499035767,
0.047579601,0.025201143,2.880539228,0.215059013,0.297492816,0.027329601,,0.681263559,,0.021822883,0.132678218,0.566007872,0.066518964,,2.209811987,46.22003451,0.107406796,0.050534882,0.176460849,3.030065726,19.99888542,
0.09021863,0.027807273,3.015814667,0.221120956,0.391371556,0.039573781,,0.771107255,,0.022757955,0.13813151,2.290032263,0.081454778,,2.756084826,78.31590231,0.112690354,0.051044746,0.179554264,3.922317946,,
0.10694266,0.027807273,3.015814667,0.228192923,0.544139158,0.044250933,,1.049398476,,0.032042473,0.170867252,2.405106273,0.105678505,,23.74741572,,0.120207737,0.062492741,0.180889992,4.434010457,,
0.123642655,0.035657357,4.352006737,0.236290414,0.549540874,0.047579601,,1.200520781,,0.034764409,0.186226373,3.122264779,0.132678218,,29.39785892,,0.120207737,0.069503648,0.18538581,4.57045225,,
0.215059013,0.047579601,6.067444033,0.252348077,0.681263559,0.059848462,,1.387439406,,0.034764409,0.251402907,9.995929559,0.157275695,,,,0.141817515,0.071267129,0.200224519,78.31590231,,
0.228192923,0.073792132,39.23452969,0.283791903,0.782198174,0.084856742,,2.251879281,,0.046415401,0.315089693,14.98546505,0.164261068,,,,0.147154249,0.077785303,0.251140895,345.1437393,,
