Mapoon,MissionRiver,MacDonaldDoughboy,EscapeRiver,Aurukun,MurgenellaCreek,AlligatorRivers,Taman,KamparRiver,KikoriRiver,Porai,TanaRiver,Lamu,KilwaKisiwani,Loango,CongoDelta,CuanzaRiver,DombeGrande,MungoRiver,OyapokRiver,ApprouagueRiver,SinnamaryRiver,MaroniRiver,Matapica,EssequiboRiver,Marawhanna
1.338379266,1.50577,0.252348077,0.681263559,0.286864233,0.001587458,0.842333075,0.4,0.771107255,0.132425943,0.228192923,50.57792,3.122264779,0.164261068,2.756084826,0.157275695,0.24836,0.112891859,1.53931,3.7755,20.54686,11.88,6.875,0.330952124,0.204843879,0.057
1.338379266,1.338379266,0.236290414,0.64442,0.283791903,0.001519528,0.818297416,0.20949,0.681263559,0.12076,0.222063538,38.80437,2.405106273,0.157275695,2.756084826,0.14268,0.176788057,0.095000863,1.402186557,3.00999,19.99888542,8.69725,6.6465,0.298608391,0.18538581,0.050534882
0.911477144,1.338379266,0.228192923,0.62617,0.252348077,0.001209704,0.782198174,0.186226373,0.681263559,0.092820147,0.215059013,21.99999,2.290032263,0.132678218,0.885966756,0.13813151,0.157275695,0.07375,1.28,2.78764,16.63317,8.220684806,6.55497,0.200224519,0.139159931,0.035751972
0.867783098,1.338379266,0.20089,0.47092,0.252348077,0.001209704,0.681263559,0.13243,0.408905148,0.076787214,0.188166198,15.82215,1.95,0.105678505,0.66584,0.12775,0.1,0.0571,1.08181,2.75838,16.63317,6.93172,6.39831,0.18538581,0.071267129,0.031944073
0.782198174,0.911477144,0.1575,0.415337939,0.185511054,,0.62617,0.122324396,0.328167605,0.00631136,0.179156303,14.98546505,0.566007872,0.081454778,0.52096,0.12046,0.08085,0.05481,1.08181,2.75838,13.58501871,6.875,6.32454,0.180889992,0.050534882,0.02223073
0.681263559,0.867783098,0.123642655,0.41341,0.185511054,,0.544139158,0.11439,0.290668654,0.006196854,0.163493069,11.99996,0.566007872,0.066518964,0.471795117,0.117696449,0.07375,0.014831327,0.558919186,2.428456575,11.88,6.875,4.8,0.178224527,0.043458423,0.015434998
0.64442,0.842333075,0.12076,0.391371556,0.1575,,0.47092,0.11156758,0.283791903,0.005561416,0.132678218,9.24995,0.54383,0.06380393,0.24318,0.11096,0.068493687,0.014699308,0.54383,1.66719,11.1551513,6.55497,4.434010457,0.17734,0.010577532,0.002970874
0.62617,0.818297416,0.10694266,0.358109679,0.14268,,0.391371556,0.089706049,0.20949,0.003605516,0.12076,5.63901,0.388353469,0.054956817,0.228192923,0.103357494,0.066518964,0.008304175,0.523194433,0.918737436,9.70283,6.39831,4.3758,0.168845588,0.009096142,0.00255346
0.567192111,0.782198174,0.07129,0.283791903,0.123642655,,0.391371556,0.076025654,0.178446657,0.002970874,0.117178024,5.04129,0.388353469,0.044589087,0.157275695,0.08984,0.05587,0.004842511,0.38659892,0.74947,8.69725,6.32454,4.13499,0.120207737,0.008409856,
0.549540874,0.681263559,0.07,0.252348077,0.12076,,0.358109679,0.075473434,0.165909293,,0.092820147,4.8334,0.315089693,0.0417499,0.149312452,0.08085,0.05033,0.004136665,0.33288,0.60999,8.220684806,5.74166,4.1162,0.101194927,0.007407383,
