No.,Name,Mean Romer estimate (g),MeanCSA,MinCSA,MaxCSA,MeanLCSA,MinLCSA,MaxLCSA,MeanDCSA,MinDCSA,MaxDCSA
AM4826,Dimetrodon booneorum,63000,2.218469857,2.209515015,2.227243782,2.17645302,2.158362492,2.193820026,2.260667537,2.260667537,2.260667537
UM16201,Dimetrodon booneorum,63000,2.081887139,2.081887139,2.081887139,2.042378598,2.042378598,2.042378598,2.121395681,2.121395681,2.121395681
UM16145,Dimetrodon booneorum,63000,2.121395681,2.121395681,2.121395681,2.121395681,2.121395681,2.121395681,2.121395681,2.121395681,2.121395681
UM3372,Dimetrodon booneorum,63000,2.062581984,2.062581984,2.062581984,2.042378598,2.042378598,2.042378598,2.08278537,2.08278537,2.08278537
AM4008,Dimetrodon limbatus,97000,2.31858501,2.245512668,2.369215857,2.21285319,2.08278537,2.352182518,2.468070269,2.408239965,2.51054501
MCZ1123,Dimetrodon limbatus,97000,2.330582858,2.320665467,2.336459734,2.271454362,2.260667537,2.292256071,2.390051496,2.380663396,2.408239965
MCZ1448,Dimetrodon limbatus,97000,2.161368002,2.041392685,2.227243782,2.138302698,2,2.193820026,2.185164261,2.08278537,2.260667537
AM4826,Dimetrodon limbatus,97000,2.175125086,2.157607853,2.191031609,2.134070806,2.121395681,2.158362492,2.217264548,2.193820026,2.260667537
MCZIVc,Dimetrodon limbatus,97000,2.344392274,2.322219295,2.365487985,2.337708784,2.322736004,2.352182518,2.354108439,2.292256071,2.408239965
MCZIVd,Dimetrodon limbatus,97000,2.281317498,2.275311355,2.287241711,2.21118731,2.193820026,2.227886705,2.3526648,2.322736004,2.380663396
UM16203,Dimetrodon limbatus,97000,2.210853365,2.210853365,2.210853365,2.227886705,2.227886705,2.227886705,2.193820026,2.193820026,2.193820026
AM4026,Dimetrodon limbatus,97000,2.174641193,2.174641193,2.174641193,2.121395681,2.121395681,2.121395681,2.227886705,2.227886705,2.227886705
AM4040,Dimetrodon limbatus,97000,2.258477645,2.243038049,2.276461804,2.218579265,2.158362492,2.292256071,2.303376076,2.260667537,2.352182518
AM4013,Dimetrodon limbatus,97000,2.155336037,2.155336037,2.155336037,2.08278537,2.08278537,2.08278537,2.227886705,2.227886705,2.227886705
MCZ1547,Dimetrodon limbatus,97000,2.397288078,2.290034611,2.486076097,2.343654723,2.227886705,2.486076097,2.462996612,2.352182518,2.534343457
UM16202,Dimetrodon limbatus,97000,2.210853365,2.210853365,2.210853365,2.227886705,2.227886705,2.227886705,2.193820026,2.193820026,2.193820026
WM1,Dimetrodon limbatus,129000,2.388574805,2.350248018,2.434568904,2.356025857,2.292256071,2.460897843,2.426511261,2.408239965,2.460897843
KU705,Dimetrodon limbatus,129000,2.550941397,2.486076097,2.580069223,2.550941397,2.486076097,2.580069223,2.550941397,2.486076097,2.580069223
AM1891,Dimetrodon limbatus,129000,2.322219295,2.322219295,2.322219295,2.292256071,2.292256071,2.292256071,2.352182518,2.352182518,2.352182518
MCZIVd,Dimetrodon limbatus,129000,2.469085299,2.469085299,2.469085299,2.380663396,2.380663396,2.380663396,2.557507202,2.557507202,2.557507202
MCZ1368,Dimetrodon limbatus,129000,2.395544796,2.352182518,2.434967888,2.395544796,2.352182518,2.434967888,2.395544796,2.352182518,2.434967888
AM4144,Dimetrodon limbatus,129000,2.507518556,2.507518556,2.507518556,2.434967888,2.434967888,2.434967888,2.580069223,2.580069223,2.580069223
AM4034,Dimetrodon grandis,254000,2.682821723,2.626340367,2.732795698,2.629919036,2.51054501,2.723455672,2.742135725,2.742135725,2.742135725
AM4054,Dimetrodon grandis,254000,2.743411763,2.684620978,2.79518459,2.715271944,2.66487692,2.760422483,2.771679327,2.704365036,2.829946696
WM1002,Dimetrodon grandis,254000,2.593286067,2.58546073,2.600972896,2.523258587,2.486076097,2.557507202,2.613224989,2.486076097,2.684845362
WM1131,Dimetrodon grandis,254000,2.648725835,2.632204133,2.664641976,2.596734509,2.486076097,2.684845362,2.716525019,2.644438589,2.778332169
WMIVd,Dimetrodon natalis,28000,1.677264674,1.591064607,1.77815125,1.676121793,1.625826713,1.750122527,1.679541452,1.556302501,1.806179974
AM4110,Dimetrodon natalis,28000,1.77815125,1.77815125,1.77815125,1.806179974,1.806179974,1.806179974,1.750122527,1.750122527,1.750122527
UM3678,Dimetrodon natalis,28000,1.658011397,1.658011397,1.658011397,1.69019608,1.69019608,1.69019608,1.625826713,1.625826713,1.625826713
UM16201,Dimetrodon natalis,28000,1.806179974,1.806179974,1.806179974,1.806179974,1.806179974,1.806179974,1.806179974,1.806179974,1.806179974
UM9667,Dimetrodon natalis,28000,1.77815125,1.77815125,1.77815125,1.806179974,1.806179974,1.806179974,1.750122527,1.750122527,1.750122527
AM4012,Dimetrodon macrospondylus,83000,2.202987532,2.171726454,2.243038049,2.135132651,2.08278537,2.193820026,2.271454362,2.260667537,2.292256071
AM4065,Dimetrodon macrospondylus,83000,2.235212711,2.227243782,2.243038049,2.193820026,2.193820026,2.193820026,2.276748941,2.260667537,2.292256071
AM4064,Dimetrodon dollovianus,147000,2.350248018,2.350248018,2.350248018,2.408239965,2.408239965,2.408239965,2.292256071,2.292256071,2.292256071
WM1322,Dimetrodon loomisi,97000,2.193820026,2.193820026,2.193820026,2.193820026,2.193820026,2.193820026,2.280179857,2.193820026,2.352182518
WM114,Dimetrodon loomisi,97000,2.378851946,2.307496038,2.440121603,2.307763378,2.292256071,2.322736004,2.419852529,2.322736004,2.557507202
WM755,Dimetrodon loomisi,97000,2.133538908,2.08278537,2.174641193,2.172456974,2.08278537,2.227886705,2.096040554,2.08278537,2.121395681
WM421,Dimetrodon loomisi,97000,2.236159231,2.210853365,2.260071388,2.21118731,2.193820026,2.227886705,2.261262869,2.227886705,2.292256071
WM40,Dimetrodon loomisi,97000,2.261262869,2.138302698,2.380211242,2.255121682,2.193820026,2.352182518,2.270678836,2.08278537,2.408239965
WM112,Dimetrodon gigashomogenes,166000,2.487580226,2.447932866,2.529237805,2.542124889,2.460897843,2.623507722,2.434967888,2.434967888,2.434967888
NM8661,Dimetrodon gigashomogenes,166000,2.408663874,2.366422957,2.460521993,2.409087369,2.352182518,2.434967888,2.410214676,2.352182518,2.486076097
MCZ1283,Dimetrodon gigashomogenes,166000,2.487138375,2.421603927,2.544068044,2.515873844,2.408239965,2.602059991,2.461273368,2.434967888,2.486076097
MCZ1372,Edaphosaurus boanerges,83000,2.110309068,2.021189299,2.174641193,2.142624072,2.042378598,2.227886705,2.084576278,2,2.121395681
MCZ1531,Edaphosaurus boanerges,83000,2.188107843,2.118099312,2.337459261,2.22184875,2.121395681,2.352182518,2.164848343,2,2.322736004
MCZ1286,Edaphosaurus boanerges,83000,2.229169703,2.157607853,2.394451681,2.20871002,2.121395681,2.408239965,2.250785827,2.193820026,2.380663396
AM4003,Edaphosaurus boanerges,83000,2.227243782,2.227243782,2.227243782,2.260667537,2.260667537,2.260667537,2.193820026,2.193820026,2.193820026
AM4060,Edaphosaurus cruciger,166000,2.421603927,2.421603927,2.421603927,2.434967888,2.434967888,2.434967888,2.448899468,2.408239965,2.51054501
AM4014,Edaphosaurus cruciger,166000,2.465382851,2.459392488,2.471291711,2.522607226,2.51054501,2.534343457,2.408239965,2.408239965,2.408239965
AM4059,Edaphosaurus cruciger,166000,2.322736004,2.322736004,2.322736004,2.484477792,2.322736004,2.602059991,2.322736004,2.322736004,2.322736004
Type,Edaphosaurus cruciger,166000,2.322219295,2.322219295,2.322219295,2.352182518,2.352182518,2.352182518,2.292256071,2.292256071,2.292256071
AM4002,Edaphosaurus pogonias,186000,2.464824752,2.322219295,2.557507202,2.459486725,2.292256071,2.557507202,2.470649331,2.352182518,2.557507202
WM239,Edaphosaurus pogonias,186000,2.592454351,2.52179165,2.653212514,2.637114313,2.557507202,2.704365036,2.547928465,2.486076097,2.602059991
MCZ1454,Lupeosaurus kayi,90000,2.286540671,2.191031609,2.447932866,2.270969821,2.121395681,2.460897843,2.304140323,2.227886705,2.434967888
MCZ1455,Lupeosaurus kayi,90000,2.218469857,2.171726454,2.260667537,2.180770814,2.08278537,2.260667537,2.260667537,2.260667537,2.260667537
AM4006,Lupeosaurus kayi,166000,2.589577296,2.51054501,2.698970004,2.543240028,2.51054501,2.602059991,2.640150041,2.51054501,2.795880017
AM4024,Lupeosaurus kayi,166000,2.497879492,2.322736004,2.621176282,2.538840688,2.322736004,2.684845362,2.458543427,2.322736004,2.557507202
WMVIa,Mycterosaurus longiceps,3000,0.867762025,0.698970004,0.989004616,0.924602302,0.795880017,1.023766722,0.812913357,0.602059991,0.954242509
AM4790,Nitosaurus jacksonorum,21000,1.51851394,1.51851394,1.51851394,1.580734954,1.556302501,1.625826713,1.480725379,1.480725379,1.480725379
WM652,Trichasaurus texensis,32000,1.807873132,1.750122527,1.858837851,1.807873132,1.750122527,1.858837851,1.807873132,1.750122527,1.858837851
WM900,Casea broilii,21000,1.633468456,1.591064607,1.716003344,1.665111737,1.556302501,1.806179974,1.609461006,1.556302501,1.625826713
WM655,Casea broilii,21000,1.558308484,1.439332694,1.62324929,1.607455023,1.480725379,1.69019608,1.50965048,1.397940009,1.556302501
WM883,Casea broilii,21000,1.520155887,1.480725379,1.556302501,1.520155887,1.480725379,1.556302501,1.520155887,1.480725379,1.556302501
WM657,Casea broilii,21000,1.720159303,1.720159303,1.720159303,1.69019608,1.69019608,1.69019608,1.750122527,1.750122527,1.750122527
